angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[440, 161, 326, 420]",0.0,0.22,0.0,0.5,0.27,0.0
0.03,"[430, 151, 335, 437]",0.0,0.09,0.0,0.63,0.25,0.0
0.05,"[446, 162, 327, 426]",0.0,0.23,0.0,0.39,0.32,0.0
0.06,"[461, 164, 324, 429]",0.01,0.17,0.0,0.12,0.64,0.0
0.1,"[456, 157, 333, 428]",0.01,0.15,0.0,0.11,0.63,0.0
0.21,"[462, 165, 329, 419]",0.06,0.52,0.0,0.0,0.21,0.0
0.37,"[473, 163, 316, 408]",0.04,0.46,0.0,0.0,0.11,0.01
0.42,"[463, 161, 326, 425]",0.05,0.32,0.0,0.0,0.22,0.0
0.55,"[467, 165, 327, 428]",0.02,0.13,0.0,0.05,0.24,0.0
0.13,"[451, 170, 323, 414]",0.0,0.22,0.0,0.34,0.3,0.0
0.28,"[456, 183, 327, 406]",0.0,0.15,0.01,0.3,0.25,0.01
0.48,"[456, 177, 333, 431]",0.01,0.27,0.0,0.0,0.21,0.03
0.68,"[460, 172, 331, 433]",0.0,0.08,0.0,0.06,0.18,0.0
0.42,"[458, 175, 334, 436]",0.02,0.12,0.0,0.11,0.3,0.02
0.86,"[451, 174, 327, 430]",0.01,0.07,0.0,0.01,0.05,0.0
0.53,"[458, 190, 325, 434]",0.0,0.14,0.0,0.08,0.25,0.01
0.56,"[459, 197, 325, 423]",0.0,0.11,0.0,0.01,0.31,0.01
0.38,"[462, 193, 321, 427]",0.01,0.12,0.0,0.02,0.45,0.03
0.4,"[450, 179, 336, 436]",0.01,0.15,0.0,0.02,0.41,0.01
0.49,"[453, 183, 326, 431]",0.01,0.1,0.0,0.05,0.35,0.01
0.23,"[447, 188, 320, 406]",0.0,0.22,0.0,0.06,0.42,0.07
0.31,"[440, 168, 332, 439]",0.0,0.14,0.0,0.05,0.5,0.01
0.2,"[436, 178, 334, 431]",0.0,0.21,0.0,0.09,0.49,0.01
