angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,[557 286 647 647],0.0,0.02,0.02,0.87,0.07,0.01
0.0,[551 291 639 639],0.0,0.02,0.02,0.84,0.12,0.0
0.19,[508 227 694 694],0.0,0.11,0.24,0.13,0.29,0.04
0.04,[524 225 666 666],0.0,0.01,0.9,0.0,0.0,0.05
0.03,[513 259 654 654],0.0,0.0,0.89,0.0,0.0,0.07
0.12,[514 196 671 671],0.0,0.01,0.83,0.0,0.0,0.03
0.08,[534 216 688 688],0.0,0.02,0.86,0.01,0.01,0.02
0.03,[575 223 653 653],0.0,0.0,0.92,0.0,0.0,0.05
0.01,[616 241 651 651],0.0,0.0,0.93,0.01,0.0,0.05
0.0,[651 264 653 653],0.0,0.0,0.98,0.0,0.0,0.02
0.07,[667 246 620 620],0.0,0.0,0.85,0.01,0.01,0.06
0.02,[608 240 662 662],0.0,0.0,0.92,0.0,0.0,0.05
0.06,[574 224 656 656],0.0,0.0,0.85,0.0,0.01,0.08
0.05,[536 258 637 637],0.0,0.0,0.9,0.01,0.01,0.02
0.03,[499 216 664 664],0.0,0.0,0.9,0.0,0.0,0.06
0.05,[485 240 640 640],0.0,0.0,0.93,0.0,0.0,0.01
0.05,[464 237 645 645],0.0,0.0,0.86,0.01,0.0,0.07
0.04,[501 246 610 610],0.0,0.0,0.91,0.02,0.0,0.03
0.04,[500 216 675 675],0.0,0.0,0.9,0.0,0.0,0.06
0.09,[568 257 641 641],0.0,0.01,0.83,0.01,0.01,0.05
0.26,[606 223 684 684],0.0,0.06,0.53,0.03,0.02,0.09
0.05,[682 256 639 639],0.0,0.01,0.87,0.01,0.0,0.05
0.07,[720 242 660 660],0.0,0.01,0.9,0.0,0.0,0.02
0.15,[721 248 675 675],0.0,0.04,0.75,0.01,0.02,0.03
0.05,[746 269 662 662],0.0,0.01,0.91,0.0,0.01,0.01
0.37,[738 276 647 647],0.0,0.05,0.42,0.01,0.13,0.01
